.,,,,,,,,,,,,,,,,,
Row ID,Order ID,Order Date,Year,Ship Date,Ship Mode,CUS ID Name ,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sales,Quantity,Discount
1,CA-2014-115812,06-09-2014,2014,14-06-2014,Standard Class,BH-11710 Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,48.86,7,0
2,CA-2014-115812,06-09-2014,2014,14-06-2014,Standard Class,BH-11710 Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,7.28,4,0
3,CA-2014-115812,06-09-2014,2014,14-06-2014,Standard Class,BH-11710 Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,907.152,6,0.2
4,CA-2014-115812,06-09-2014,2014,14-06-2014,Standard Class,BH-11710 Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,18.504,3,0.2
5,CA-2014-115812,06-09-2014,2014,14-06-2014,Standard Class,BH-11710 Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,114.9,5,0
6,CA-2014-115812,06-09-2014,2014,14-06-2014,Standard Class,BH-11710 Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,1706.184,9,0.2
7,CA-2014-115812,06-09-2014,2014,14-06-2014,Standard Class,BH-11710 Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,911.424,4,0.2
8,US-2015-118983,13-05-2014,2014,18-11-2014,Standard Class,HP-14815 Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,2.544,3,0.8
9,CA-2014-105893,27-08-2014,2014,15-05-2014,Standard Class,PK-19075 Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,665.88,6,0
10,CA-2014-167164,27-08-2014,2014,13-12-2016,Second Class,AG-10270 Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,55.5,2,0
11,CA-2014-143336,27-08-2014,2014,13-12-2016,Second Class,ZD-21925 Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,8.56,2,0
12,CA-2015-117415,20-10-2014,2014,23-09-2017,Standard Class,SN-20710 Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,113.328,9,0.2
13,CA-2016-111682,26-11-2014,2014,17-09-2017,First Class,TB-21055 Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,1.68,1,0
14,US-2017-119662,25-08-2014,2014,15-06-2016,First Class,CS-12400 Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,OFF-ST-10003656,Office Supplies,230.376,3,0.2
15,CA-2017-140088,25-08-2014,2014,15-06-2016,Second Class,PO-18865 Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South,FUR-CH-10000863,Furniture,301.96,2,0
16,CA-2017-155558,25-08-2014,2014,15-06-2016,Standard Class,PG-18895 Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,19.99,1,0
17,CA-2017-155558,25-08-2014,2014,15-06-2016,Standard Class,PG-18895 Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,OFF-LA-10000134,Office Supplies,6.16,2,0
18,CA-2016-159695,26-12-2014,2014,15-06-2016,Second Class,GM-14455 Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,OFF-ST-10003442,Office Supplies,158.368,7,0.2
19,CA-2016-109806,20-09-2014,2014,28-12-2014,Standard Class,JS-15685 Jim Sink,Corporate,United States,Los Angeles,California,90036,West,OFF-AR-10004930,Office Supplies,20.1,3,0
