Row ID,Order ID,Order Date,Year,Ship Date,Ship Mode,CUS ID Name ,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sales,Quantity,Discount
6,CA-2014-115812,06-09-2014,2014,14-6-2014,Standard Class,BH-11710 Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,48.86,7,0
7,CA-2014-115812,06-09-2014,2014,14-6-2014,Standard Class,BH-11710 Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,7.28,4,0
8,CA-2014-115812,06-09-2014,2014,14-6-2014,Standard Class,BH-11710 Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,907.152,6,0.2
9,CA-2014-115812,06-09-2014,2014,14-6-2014,Standard Class,BH-11710 Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,18.504,3,0.2
10,CA-2014-115812,06-09-2014,2014,14-6-2014,Standard Class,BH-11710 Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,114.9,5,0
11,CA-2014-115812,06-09-2014,2014,14-6-2014,Standard Class,BH-11710 Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,1706.184,9,0.2
12,CA-2014-115812,06-09-2014,2014,14-6-2014,Standard Class,BH-11710 Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,911.424,4,0.2
16,US-2015-118983,13-5-2014,2014,18-11-2014,Standard Class,HP-14815 Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,2.544,3,0.8
17,CA-2014-105893,27-8-2014,2014,15-5-2014,Standard Class,PK-19075 Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,665.88,6,0
18,CA-2014-167164,27-8-2014,2014,13-12-2016,Second Class,AG-10270 Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,55.5,2,0
19,CA-2014-143336,27-8-2014,2014,13-12-2016,Second Class,ZD-21925 Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,8.56,2,0
38,CA-2015-117415,20-10-2014,2014,23-9-2017,Standard Class,SN-20710 Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,113.328,9,0.2
62,CA-2016-111682,26-11-2014,2014,17-9-2017,First Class,TB-21055 Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,1.68,1,0
85,US-2017-119662,25-8-2014,2014,15-6-2016,First Class,CS-12400 Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,OFF-ST-10003656,Office Supplies,230.376,3,0.2
86,CA-2017-140088,25-8-2014,2014,15-6-2016,Second Class,PO-18865 Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South,FUR-CH-10000863,Furniture,301.96,2,0
87,CA-2017-155558,25-8-2014,2014,15-6-2016,Standard Class,PG-18895 Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,19.99,1,0
88,CA-2017-155558,25-8-2014,2014,15-6-2016,Standard Class,PG-18895 Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,OFF-LA-10000134,Office Supplies,6.16,2,0
89,CA-2016-159695,26-12-2014,2014,15-6-2016,Second Class,GM-14455 Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,OFF-ST-10003442,Office Supplies,158.368,7,0.2
90,CA-2016-109806,20-9-2014,2014,28-12-2014,Standard Class,JS-15685 Jim Sink,Corporate,United States,Los Angeles,California,90036,West,OFF-AR-10004930,Office Supplies,20.1,3,0
102,CA-2016-158568,22-10-2014,2014,27-12-2017,Standard Class,RB-19465 Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,OFF-BI-10002609,Office Supplies,1.788,3,0.8
113,CA-2016-128867,14-9-2014,2014,23-11-2015,Standard Class,CL-12565 Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,Central,OFF-BI-10003981,Office Supplies,27.24,6,0
114,CA-2014-115259,14-9-2014,2014,23-11-2015,Second Class,RC-19960 Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,OFF-FA-10000621,Office Supplies,40.096,14,0.2
119,US-2015-136476,19-11-2014,2014,30-8-2014,Standard Class,GG-14650 Greg Guthrie,Corporate,United States,Bristol,Tennessee,37620,South,OFF-BI-10003650,Office Supplies,157.794,1,0.7
120,CA-2016-103730,19-11-2014,2014,22-7-2016,First Class,SC-20725 Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,FUR-FU-10002157,Furniture,47.04,3,0
121,CA-2016-103730,19-11-2014,2014,22-7-2016,First Class,SC-20725 Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,OFF-BI-10003910,Office Supplies,30.84,4,0
123,CA-2016-103730,26-8-2014,2014,14-10-2015,First Class,SC-20725 Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,OFF-EN-10002500,Office Supplies,115.02,9,0
127,US-2017-107272,21-3-2014,2014,25-3-2014,Standard Class,TS-21610 Troy Staebel,Consumer,United States,Phoenix,Arizona,85023,West,OFF-BI-10003274,Office Supplies,2.388,2,0.7
128,US-2017-107272,21-3-2014,2014,25-3-2014,Standard Class,TS-21610 Troy Staebel,Consumer,United States,Phoenix,Arizona,85023,West,OFF-ST-10002974,Office Supplies,243.992,7,0.2
141,CA-2016-110366,13-9-2014,2014,27-12-2015,Second Class,JD-15895 Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,82.8,2,0.2
146,CA-2015-110744,19-9-2014,2014,16-11-2017,Standard Class,HA-14920 Helen Andreada,Consumer,United States,Pasadena,California,91104,West,OFF-ST-10003656,Office Supplies,671.93,7,0
147,CA-2014-110072,19-9-2014,2014,15-12-2016,Standard Class,MG-17680 Maureen Gastineau,Home Office,United States,Newark,Ohio,43055,East,FUR-FU-10000521,Furniture,93.888,4,0.2
172,CA-2014-118962,26-12-2014,2014,20-12-2016,Standard Class,CS-12130 Chad Sievert,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10000659,Office Supplies,20.94,3,0
173,CA-2014-118962,26-12-2014,2014,20-12-2016,Standard Class,CS-12130 Chad Sievert,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10001144,Office Supplies,110.96,2,0
174,CA-2014-118962,26-12-2014,2014,24-11-2016,Standard Class,CS-12130 Chad Sievert,Consumer,United States,Los Angeles,California,90004,West,FUR-CH-10003817,Furniture,340.144,7,0.2
175,US-2014-100853,26-12-2014,2014,24-11-2016,Standard Class,JB-15400 Jennifer Braxton,Corporate,United States,Chicago,Illinois,60623,Central,OFF-AP-10000891,Office Supplies,52.448,2,0.8
176,US-2014-100853,26-12-2014,2014,24-11-2016,Standard Class,JB-15400 Jennifer Braxton,Corporate,United States,Chicago,Illinois,60623,Central,OFF-LA-10003148,Office Supplies,20.16,4,0.2
183,CA-2014-158274,30-12-2014,2014,23-11-2017,Second Class,RM-19675 Robert Marley,Home Office,United States,Monroe,Louisiana,71203,South,TEC-PH-10003273,Technology,503.96,4,0
185,CA-2014-158274,27-9-2014,2014,14-9-2016,Second Class,RM-19675 Robert Marley,Home Office,United States,Monroe,Louisiana,71203,South,TEC-AC-10002345,Technology,29,2,0
186,CA-2016-105018,28-12-2014,2014,14-9-2016,Standard Class,SK-19990 Sally Knutson,Consumer,United States,Fairfield,Connecticut,6824,East,OFF-BI-10001890,Office Supplies,7.16,2,0
187,CA-2014-123260,19-9-2014,2014,14-9-2016,Standard Class,FM-14290 Frank Merwin,Home Office,United States,Los Angeles,California,90032,West,TEC-AC-10002323,Technology,176.8,8,0
199,US-2017-124303,13-4-2014,2014,17-7-2014,Standard Class,FH-14365 Fred Hopkins,Corporate,United States,Philadelphia,Pennsylvania,19120,East,OFF-BI-10000343,Office Supplies,2.946,2,0.7
200,US-2017-124303,13-4-2014,2014,26-6-2015,Standard Class,FH-14365 Fred Hopkins,Corporate,United States,Philadelphia,Pennsylvania,19120,East,OFF-PA-10002749,Office Supplies,16.056,3,0.2
201,CA-2017-105074,13-4-2014,2014,17-4-2014,Standard Class,MB-17305 Maria Bertelson,Consumer,United States,Akron,Ohio,44312,East,OFF-PA-10002666,Office Supplies,21.744,3,0.2
202,CA-2014-133690,13-4-2014,2014,17-4-2014,First Class,BS-11755 Bruce Stewart,Consumer,United States,Denver,Colorado,80219,West,FUR-TA-10004289,Furniture,218.75,2,0.5
210,CA-2017-135860,24-9-2014,2014,13-4-2016,Standard Class,JH-15985 Joseph Holt,Consumer,United States,Saginaw,Michigan,48601,Central,OFF-FA-10000134,Office Supplies,52.29,9,0
217,CA-2015-146262,23-7-2014,2014,27-7-2014,Standard Class,VW-21775 Victoria Wilson,Corporate,United States,Medina,Ohio,44256,East,TEC-AC-10000109,Technology,89.584,2,0.2
218,CA-2016-130162,23-7-2014,2014,27-7-2014,Standard Class,JH-15910 Jonathan Howell,Consumer,United States,Los Angeles,California,90032,West,OFF-ST-10001328,Office Supplies,93.06,6,0
219,CA-2016-130162,23-7-2014,2014,27-7-2014,Standard Class,JH-15910 Jonathan Howell,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002563,Technology,302.376,3,0.2
220,CA-2015-169397,23-7-2014,2014,27-7-2014,First Class,JB-15925 Joni Blumstein,Consumer,United States,Dublin,Ohio,43017,East,OFF-FA-10000585,Office Supplies,5.584,2,0.2
